# Format
# Grapheme ; Code ; Equivalent Sequences ; Lowercase ; Titlecase ; Uppercase ; UTF-8 Length ; UTF-16 Length

# Latin-1
Ũ;0168;0168,0055 0303;0169;0168;0168;2;2
ũ;0169;0169,0075 0303;0169;0168;0168;2;2
Ū;016A;016A,0055 0304;016B;016A;016A;2;2
ū;016B;016B,0075 0304;016B;016A;016A;2;2
Ŭ;016C;016C,0055 0306;016D;016C;016C;2;2
ŭ;016D;016D,0075 0306;016D;016C;016C;2;2
Ů;016E;016E,0055 030A;016F;016E;016E;2;2
ů;016F;016F,0075 030A;016F;016E;016E;2;2
Ű;0170;0170,0055 030B;0171;0170;0170;2;2
ű;0171;0171,0075 030B;0171;0170;0170;2;2
Ų;0172;0172,0055 0328;0173;0172;0172;2;2
ų;0173;0173,0075 0328;0173;0172;0172;2;2
Ŵ;0174;0174,0057 0302;0175;0174;0174;2;2
ŵ;0175;0175,0077 0302;0175;0174;0174;2;2
Ŷ;0176;0176,0059 0302;0177;0176;0176;2;2
ŷ;0177;0177,0079 0302;0177;0176;0176;2;2
Ÿ;0178;0178,0059 0308;00FF;0178;0178;2;2
Ź;0179;0179,005A 0301;017A;0179;0179;2;2
ź;017A;017A,007A 0301;017A;0179;0179;2;2
Ż;017B;017B,005A 0307;017C;017B;017B;2;2
ż;017C;017C,007A 0307;017C;017B;017B;2;2
Ž;017D;017D,005A 030C;017E;017D;017D;2;2
ž;017E;017E,007A 030C;017E;017D;017D;2;2

# Latin Extended-B

# IPA Extensions

# Spacing Modifier Letters

# Combining Diacritical Marks

# Greek and Coptic

# Cyrillic

# Cyrillic Supplement

# Armenian

# Hebrew

# Arabic

# Syriac

# Arabic Supplement

# Thaana

# NKo

# Samaritan

# Mandaic

# Syriac Supplement

# Arabic Extended-A

# Devanagari

# Bengali

# Gurmukhi

# Gujarati

# Oriya

# Tamil

# Telugu

# Kannada

# Malayalam

# Sinhala

# Thai

# Lao

# Tibetan

# Mayanmar

# Georgian

# Hangul Jamo

# Ethiopic

# Ethiopic Supplement

# Cherokee

# Unified Canadian Aboriginal Syllabics

# Ogham

# Tagalog

# Hanunoo

# Buhid

# Tagbanwa

# Khmer

# Mongolian

# Unified Canadian Aboriginal Syllabics Extended

# Limbu

# Tai Le

# New Tai Le

# Khmer Symbols

# Buginese

# Tai Tham

# Combining Diacritical Marks Extended

# Bailnese

# Sundanese

# Batak

# Lepcha

# Ol Chiki

# Cyrillic Extended-C

# Georgian Extended

# Sudanese Supplement

# Vedic Extensions

# Phonetic Extensions

# Phonetic Extensions Supplement

# Combining Diacritical Marks Supplement

# Latin Extended Additional

# Greek Extended

# General Punctuation

# Superscripts and Subscripts

# Currency Symbols

# Combining Diacritical Marks for Symbols

# Letterlike Symbols

# Number Forms

# Arrows

# Mathematical Operators

# Miscellaneous Technical

# Control Pictures

# Optical Character Recognition

# Enclosed Alphanumerics

# Box Drawing

# Block Elements

# Geometric Shapes

# Miscellaneous Symbols

# Dingbats

# Miscellaneous Mathematical Symbols-A

# Supplemental Arrows-A

# Braille Patterns

# Supplemental Arrows-B

# Miscellaneous Mathematical Symbols-B

# Supplemental Mathematical Operators

# Miscellaneous Symbols and Arrows

# Glagolitic

# Latin Extended-C

# Coptic

# Georgian Supplement

# Tifinagh

# Ethiopic Extended

# Cyrillic Extended-A

# Supplemental Punctuation

# CJK Radicals Supplement

# Kangxi Radicals

# Ideographic Description Characters

# CJK Symbols and Punctuation

# Hiragana

# Katakana

# Bopomofo

# Hangul Compatibility Jamo

# Kanbun

# Bopomofo Extended

# CJK Strokes

# Katakana Phonetic Extensions

# Enclosed CJK Letters and Months

# CJK Compatibility

# CJK Unified Ideographs Extensions A

# Yijing Hexagram Symbols

# CJK Unified Ideographs

# Yi Syllables

# Yi Radicals

# Lisu

# Vai

# Cyrillic Extended-B

# Bamum

# Modifier Tone Letters

# Latin Extended-D

# Syloti Nagri

# Common Indic Number Forms

# Phags-Pa

# Saurashtra

# Devanagari Extended

# Kayak Li

# Rejang

# Hangul Jamo Extended-A

# Javanese

# Mayanmar Extended-B

# Cham

# Mayanmar Extended-A

# Tai Viet

# Meetei Mayek Extensions

# Ethiopic Extended-A

# Latin Extended-E

# Cherokee Supplement

# Meetei Mayek

# Hangul Syllables

# Hangul Jamo Extended-B

# High Surrogates

# High Private Use Surrogates

# Low Surrogates

# Private Use Area

# CJK Compatibility Ideographs

# Alphabetic Presentation Form

# Arabic Presentation Forms-A

# Variation Selectors

# Vertical Forms

# Combining Half Marks

# CJK Compatibility Forms

# Small Form Variants

# Arabic Presentation Forms-B

# Halfwidth and Fullwidth Forms

# Specials

# Linear B Syllabary

# Linear B Ideograpms

# Aegean Numbers

# Ancient Greek Numbers

# Ancient Symbols

# Phaistos Disc

# Lycian

# Carian

# Coptic Epact Numbers

# Old Italic

# Gothic

# Old Permic

# Ugaritic

# Old Persian

# Deseret

# Shavian

# Osmanya

# Osage

# Elbasan

# Caucasian Albanian

# Linear A

# Cypriot Syllabary

# Impereal Aramaic

# Palmyrene

# Nabataean

# Hatran

# Phoenician

# Lydian

# Meroitic Hieroglyphs

# Meroitic Cursive

# Kharoshthi

# Old South Arabian

# Old North Arabian

# Manichaean

# Avestan

# Inscriptional Parthian

